clusterId,exampleTweet;tree-5;tree-10;tree2;linear-svm;poly-svm;rbf-svm;sigmoid-svm
159;"syrianarmy kills terrorists’ anti-aircraft regiment commander in aleppo
-  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
159;" syrian army kills terrorists’ anti-aircraft regiment commander in aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
44;"inside aleppo: a city divided and awaiting all out war ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
44;"syria • inside aleppo: a city divided and awaiting all out war ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
44;"inside aleppo: a city divided and awaiting all out war - 
dontforgetsyria";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
124;"retweeted farheen rizvi (
one family's journey out of the bloody 'tragedy' of eastern aleppo... ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
124;"one family's journey out of the bloody 'tragedy' of eastern aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
124;"civilians of east aleppo being held captive as human shield by rebels. the bloody 'tragedy' of eastern aleppo ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
149;"aleppo is at the center of a new cold war ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
149;"aleppo is at the center of a new cold war  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
149;"aleppo is at the center of a new cold war ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
38;""syria: buses wait for e. aleppo residents as humanitarian pause gets underway"  youtube  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
38;"syria: buses wait for e. aleppo residents as humanitarian pause gets und...  с помощью ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
38;"syria: buses wait for e. aleppo residents as humanitarian pause gets underway 
video, videonews, news, ruptly, v…";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
122;""we call on the international community to protect civilians of syria, our children and women. nothing more." care partner in aleppo.";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
122;""we call on the international community to protect civilians of syria, our children and women. nothing more." care partner in aleppo.";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
122;""we call on the international community to protect civilians of syria, our children and women. nothing more." care partner in aleppo.";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
64;"brilliant: putin exposes western hypocrisy on aleppo and mosul eddie  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed
64;"putin exposes western hypocrisy on aleppo and mosul (video)  via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed
64;"brilliant: putin exposes western hypocrisy on aleppo and mosul ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.confirmed
125;"aleppo "russia’s position is that there is no military solution to the syria'n issue" dmitry medvedev just said.

";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
125;"maybe not...

aleppo "russia’s position is that there is no military solution to the syria'n issue" dmit… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
125;"maybe not...

aleppo "russia’s position is that there is no military solution to the syria'n issue" dmit… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
55;"details: attack targets western part of humanitarian corridor near castello road in aleppo  …";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
55;"two russian officers injured in militants' attack near castello road in aleppo:  via ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
55;"two russian officers injured in militants' attack near castello road in aleppo ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
110;"russian experts in aleppo to collect evidence of chemical weapons use ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
110;"russian experts come to aleppo to collect evidence of chemical weapons use
 ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
110;"media reports: terrorists in aleppo used chemical weaponry once again, in a routine manner. ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
57;"bbc news - syria conflict: east aleppo braces itself for more air strikes ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
57;"syria conflict: east aleppo braces itself for more air strikes ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
57;"bbc news - syria conflict: east aleppo braces itself for more air strikes ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
119;"syria rebels renew aleppo attack  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
119;"syria rebels renew aleppo attack  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
119;"syria rebels renew aleppo attack  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied
4;"u.n. says can't use russian aleppo pause to send aid  australia reuters";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
4;"u.n. says can't use russian aleppo pause to send aid  persian frankfurt govhack";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
4;"u.n. says can't use russian aleppo pause to send aid unitednations jenslaerke...  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
75;"your friday headlines: tory mp resigns, marksandspencer closes stores, aleppo, and officialsting plays bataclan ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
75;"your friday headlines: tory mp resigns, marksandspencer closes stores, aleppo, and officialsting plays bataclan ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
75;"your friday headlines: tory mp resigns, marksandspencer closes stores, aleppo, and officialsting plays bataclan ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
141;"virtual reality offers new pause, exits for syrian's besieged aleppo fakeheadlinebot learntocode makeatwitterbot javascript";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
141;"putin offers new pause for aleppo.. related articles: ";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
141;"paris las vegas offers new pause, exits for syrian's besieged aleppo fakeheadlinebot learntocode makeatwitterbot javascript";ClusterClass.confirmed;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
89;"isis, al-qaeda and the "moderate rebels" are... ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
89;"isis, al-qaeda and the "moderate rebels" are... ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
89;"isis, al-qaeda and the "moderate rebels" are... ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
74;"russian experts collecting evidence of anti-govt chemical attack in aleppo – defense ministry… ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
74;"russian experts collecting evidence of anti-govt chemical attack in aleppo – defense ministry… ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
74;"russian experts collecting evidence of anti-govt chemical attack in aleppo – defense ministry ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
29;"visions of hell: another day in aleppo, ancient city under siege - la times ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
29;"do not avert your gaze: 
visions of hell: another day in aleppo, ancient city under siege: ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
29;"los angeles times - usa - visions of hell: another day in aleppo ancient city under siege - ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
86;"inside the city of hell and an appalling affront to humanity: our veteran war reporter has covered many bloody… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
86;"inside the city of hell and an appalling affront to humanity: our veteran war reporter has…  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
86;"inside the city of hell and an appalling affront to humanity: our veteran war reporter has covered many bloody… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
154;"russia says it pauses fighting in aleppo to allow rebels, residents to leave |  syria";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
154;"russia says it pauses fighting in aleppo to allow rebels, residents to leave  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
154;"russia says it pauses fighting in aleppo to allow rebels, residents to leave |  syria";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
39;"1 of 6 humanitarian corridors to allow civilians to leave e aleppo btw 9am &amp; 7pm. no buses waiting, no ppl leaving… ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
39;"om 19:00 in aleppo (18:00 uur hier) loopt humanitaire pauze af.
pics of humanitarian corridors for militants live :… ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
39;"2 russian officers were wounded in shelling in aleppo   ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
98;"syria out of 35 doctors left in east aleppo, only 7 are surgeons. many patients in need of urgent specialised car… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
98;"syria out of 35 doctors left in east aleppo, only 7 are surgeons. many patients in need of urgent specialised car… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
98;"syria out of 35 doctors left in east aleppo, only 7 are surgeons. many patients in need of urgent specialised ca… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
128;"reliefweb iraq: flash update – aleppo– 03 november 2016: source: un office for the coordination of humanitarian… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
128;"reliefweb iraq: flash update – aleppo– 03 november 2016: source: un office for the coordination of humanitarian… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
128;"reliefweb iraq: flash update – aleppo– 03 november 2016: source: un office for the coordination of humanitarian… ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
150;"terrorist groups continue to block civilians' exit from aleppo city
 ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
150;"terrorist groups continue to block civilians exit from aleppo city  ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
150;"retweeted fars news agency (
terrorist groups continue to block civilians' exit from aleppo city... ";ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
91;"syria rebels launch new attacks to end aleppo siege ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
91;"syria rebels launch new attacks to end aleppo siege ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
91;"syria rebels launch new attacks to end aleppo siege ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
60;"from aleppo to belfast ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
60;"from aleppo to belfast  ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
60;"from aleppo to belfast ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
14;"rebel-held sector of aleppo braces for renewed bombardment ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
14;"3novices : world › rebel-held zone of syria's aleppo braces for renewed bombardment  syrian rebels and civilians s…";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
14;"rebel-held sector of aleppo braces for renewed bombardment ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
76;"inside aleppo: a city braced for another escalation of violence  unitedkingdom ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
76;"inside aleppo: a city braced for another escalation of violence ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
76;"inside aleppo: a city braced for another escalation of violence  unitedkingdom ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
46;"russia’s ultimatum to break aleppo while all eyes on us elections  via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
46;"russia’s ultimatum to break aleppo while all eyes on us elections  via ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
46;"russia’s ultimatum to break aleppo while all eyes on us elections   ";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed;ClusterClass.confirmed
108;"adicionei um vídeo a uma playlist  war 2016 - battle of aleppo: heavy clashes and intense urban";ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied;ClusterClass.denied
