clusterId;exampleTweet;tree-5;tree-10;tree2;linear-svm;poly-svm;rbf-svm;sigmoid-svm;tree-5-no5;tree-10-no5;tree2-no5;linear-svm-no5;poly-svm-no5;rbf-svm-no5;sigmoid-svm-no5;tree-majority;svm-majority
13;"rebel-held zone of syria's aleppo braces for renewed bombardment  via 
skewered report by reuters";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;"rebel-held sector of aleppo braces for renewed bombardment ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;"reuters top news: rebel-held zone of syria’s aleppo braces for renewed bombardment…  newsintweets";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;" rebel-held zone of syria’s aleppo braces for renewed bombardment headlinesapp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"russian-declared pause in syria's aleppo broken ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
15;"russian-declared pause in syria's aleppo broken  ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
15;"russian-declared pause in syria's aleppo broken ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
16;"russian-declared pause in syria's aleppo broken  via ap news";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;"russian-declared pause in syria's aleppo broken: two russian soldiers and a syrian… ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;"russian-declared pause in syria’s aleppo broken ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;"aleppo: 2 russian soldiers injured, media evacuated in militant shelling of humanitarian corridor ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;"aleppo: 2 russian soldiers injured, media evacuated in militant shelling of humanitarian corridor ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17;"aleppo: 2 russian soldiers injured, media evacuated in militant shelling ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;"livestream aleppo: russian military streaming pics of humanitarian corridors for militants tcot pjnet  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;"aleppo: russian military streaming pics of humanitarian corridors for militants live  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;"aleppo: russian military streaming pics of humanitarian corridors for militants live - rt ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
19;"rt follow russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax… ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
19;"russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
19;"russian defense ministry: 2 russian servicemen lightly wounded in aleppo, syria, area - interfax via ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
20;".don't lose aleppo 2 the elections. read the thumbprint. dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
20;".don't lose aleppo 2 the elections. read the thumbprint. dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
20;".don't lose aleppo 2 the elections. read the thumbprint. dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
21;".dontforgetsyria, putin will use elections to exterminate aleppo in silence. ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;".activist action to expose putin plan to exterminate 300 000 in aleppo. media dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;".activist action to expose putin plan to exterminate 300 000 in aleppo. media dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;".activist action to expose putin plan to exterminate 300 000 in aleppo. media dontforgetsyria ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;".clock ticking for east aleppo as russia announce the extermination of 300 000 people. dontforgetsyria";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;".clock ticking for east aleppo as russia announce the extermination of 300 000 people. dontforgetsyria";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;".clock ticking for east aleppo as russia announces the extermination of 300 000 people. dontforgetsyria";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
24;"russo-syrian humanitarian pause starts in aleppo  middleeast news russia society";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
25;"an exit has opened for aleppo’s trapped civilians to leave. but no one is using it ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;"an exit has opened for aleppo's trapped civilians to leave. but no one is using it  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;"an exit has opened for aleppo's trapped civilians to leave. but no one is using it ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;".russia will 'annihilate' aleppo while you will be busy by elections. dontforgetsyria syria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
26;".russia will 'annihilate' aleppo while you will be busy by elections. dontforgetsyria syria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
26;".russia will 'annihilate' aleppo while you will be busy by elections. dontforgetsyria syria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
27;"liberating syria from al qaeda-isis: us-supported terrorists admit taking heavy casualties in aleppo  via ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
27;"liberating syria from al qaeda-isis: us-supported terrorists admit taking heavy casualties in aleppo  via ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
27;"qaeda -  liberating syria from al qaeda-isis: us-supported terrorists admit taking heavy casualties in aleppo";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
28;"syrian rebels launch multiple attacks on gov't held aleppo.. related articles:  ";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
28;"syrian rebels launch multiple attacks on gov’t held aleppo - ";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
28;"rebels launch multiple attacks as russia threatens to 'purge' aleppo  ";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
29;"visions of hell: another day in aleppo, ancient city under siege  ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
29;"visions of hell: another day in aleppo, ancient city under siege ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
29;"visions of hell: another day in aleppo, ancient city under siege ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
30;".putin says to bana: leave or i kill you. dontforgetsyria aleppo ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
30;".putin says to bana: leave or i kill you. dontforgetsyria aleppo ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
30;".putin says to bana: leave or i kill you. dontforgetsyria aleppo ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
31;".aleppo's facts. syria dontforgetsyria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
31;".aleppo's facts. syria dontforgetsyria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
31;".aleppo's facts. syria dontforgetsyria ";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
32;"russia tells rebels to withdraw from aleppo aleppo ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
32;"russia tells opposition forces to leave syria’s aleppo by friday evening  via ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
32;"russia tells rebels to leave syria's aleppo by friday evening ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;"rebel groups clash with each other in syria's aleppo  by ahmed_ragab via ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;" rebel-held zone of syria's ale...  followme teamfollowback lmao ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;"syria: rebel groups clash with each other in aleppo  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
34;"syrian war report – november 4, 2016: govt forces repel fierce militant attack in aleppo  ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
34;"syrian war report – november 4, 2016
";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
34;"syrian war report – november 4, 2016: govt forces repel fierce militant attack in aleppo  via ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
35;"a special report from the besieged city of aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
35;"crying for aleppo &amp; so much inhumanity! "a special report from the besieged city of aleppo"  iran syria";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
35;"a special report from the besieged city of aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
36;"the can't use the russian aleppo pause to deliver aid: "we still do not have the security assurances," spokesman said.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;"they aren't. they can't. ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;"the can't use the russian aleppo pause to deliver aid: "we still do not have the security assurances," spokesman said.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;"aleppo humanitarian pause introduced by russia enters into force ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
37;"top story: aleppo humanitarian pause introduced by russia enters into force  see more ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
37;"aleppo humanitarian pause introduced by russia enters into force:  via ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
38;"syria: buses wait for e. aleppo residents as humanitarian pause gets underway  video";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
38;"syria: buses wait for e. aleppo residents as humanitarian pause gets underway 
video, videonews, news, ruptly, v…";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
38;"syria: buses wait for e. aleppo residents as humanitarian pause gets underway  video";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
39;"russia announces 'humanitarian pause' in syria  video usrc ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
39;"bushi_jp (journalist)

"live from aleppo as humanitarian pause goes into effect" youtube ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
39;""live from aleppo as humanitarian pause goes into effect"  youtube  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
40;"الاحواز rt nader_iran: standwithaleppo &amp; with alabedbana &amp; the children of aleppo this sunday 
facebook event:… ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
40;"standwithaleppo &amp; with &amp; the children of aleppo this sunday 

facebook event:  ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
40;"standwithaleppo &amp; with &amp; the children of aleppo this sunday 
facebook event:   ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
41;"syria rebels shell aleppo evacuation route: state tv (afp)";0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
41;"syria rebels shell aleppo evacuation route: state tv (afp)";0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
41;"breaking syria rebels shell aleppo evacuation route: state tv";0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
42;"aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
42;"thenewsclub aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
42;"aleppo evacuation corridor 'hit by mortar shells' during humanitarian pause  ";0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1
43;"moscow saintpetersburg two russian servicemen wounded as militants shell humanitarian corridor in aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
43;"two russian servicemen wounded as militants shell humanitarian corridor in aleppo  ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
43;"two russian servicemen wounded as militants shell humanitarian corridor in aleppo  ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
44;"inside aleppo: a city divided and awaiting all out war ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
44;"inside aleppo: a city divided and awaiting all out war - 
dontforgetsyria";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
44;"inside aleppo: a city divided and awaiting all out war ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
45;"_com: more: evacuation forced rt crew in aleppo to cease live transmissions ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
45;"more: evacuation forced rt crew in aleppo to cease live transmissions ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
45;"more: evacuation forced rt crew in aleppo to cease live transmissions ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
46;"russia’s ultimatum to break aleppo while all eyes on us elections  via ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
46;"putin plays with lives as is russia’s ultimatum to break aleppo while all eyes on us elections  via ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
46;"russia’s ultimatum to break aleppo while all eyes on us elections  via ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
47;".dontfor getsyria in the words of 7 yr old syrian girl 'i am counting my living days in aleppo' ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
47;".dontforgetsyria in the words of 7 years old syrian girl "i am counting my living days in aleppo" putinterror ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
47;".dontfor getsyria in the words of 7 yr old syrian girl 'i am counting my living days in aleppo' ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
48;"russian jets launch first airstrikes over west aleppo ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
48;"russian jets launch first airstrikes over west aleppo ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
48;"russian jets launch first airstrikes over west aleppo  apsnynews";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
49;"
syria: al-qaeda launches ‘do or die’ attempt to break siege of eastern aleppo.";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
49;" ▒ syria: al-qaeda launches ‘do or die’ attempt to break siege of eastern aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
49;"syria: al-qaeda launches ‘do or die’ attempt to break siege of eastern aleppo
";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
50;".putin to aleppo's people: live or die. dontforgetsyria ";0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
50;".putin to aleppo's people: live or die. dontforgetsyria ";0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
50;".putin to aleppo's people: live or die. dontforgetsyria ";0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0
51;"10-hour humanitarian pause begins in syria's aleppo, russian defense ministry says - interfax via ";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
51;"10-hour humanitarian pause begins in syria's aleppo, russian defense ministry says - interfax via ";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
51;"russian defense ministry says situation in kanye west is nothing like in aleppo fakeheadlinebot learntocode makeatwitterbot javascript";1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1
52;"russian drones observe every move islamist rebels make in aleppo  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
52;"russian drones observe every move islamist rebels make in aleppo  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
52;"russian drones observe every move islamist rebels make in aleppo 
 ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  via ";1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  … via ";1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1
53;"lebanon garbage crisis gets helping hand from syrian recyclers aleppo  … via ";1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1
54;"breaking: russia says two soldiers 'lightly wounded' in aleppo rebel shelling - afp";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
54;"russia says two soldiers wounded in aleppo shelling ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
54;"breaking russia says two soldiers 'lightly wounded' in aleppo rebel shelling";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
55;"details: attack targets western part of humanitarian corridor near castello road in aleppo  ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
55;"⭐️ international • two russian officers injured in militants' attack near castello road in aleppo: the russian…… ";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
55;"details: attack targets western part of humanitarian corridor near castello road in aleppo  …";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56;"syria conflict: rebels ramp up attacks on government-held aleppo ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
56;"syria conflict: rebels ramp up attacks on government-held aleppo  ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
56;"bbc news - syria conflict: rebels ramp up attacks on government-held aleppo";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
57;"bbc news - syria conflict: east aleppo braces itself for more air strikes ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
57;"syria conflict: east aleppo braces itself for more air strikes - bbc news  idefy";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
57;"syria conflict: east aleppo braces itself for more air strikes ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
58;"news owen bennett-jones: aleppo braced  via ";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
58;"owen bennett-jones: aleppo braced for more airstrikes - east aleppo braces itself for airstrikes after rebel fi... ";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
58;"owen bennett-jones: aleppo braced ";1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
59;"rebel groups detonate huge car bombs in western aleppo - ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
59;"rebel groups detonate huge car bombs in western aleppo - ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
59;"rebel groups detonate huge car bombs in western aleppo - ";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
60;"from aleppo to belfast  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;"from aleppo to belfast ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;"from aleppo to belfast  ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;"new: from aleppo to belfast ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;"from aleppo to belfast - one man's story (bbc) ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;"from aleppo to belfast  - rt and follow ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;"czech fm announces financial aid for a number of children in aleppo... ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
62;"czech fm announces financial aid for a number of children in aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
62;"czech fm announces financial aid for a number of children in aleppo ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
63;"your friday morning headlines: brexit theresa_may uselection pharrell aleppo syria earthworm dave ";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
63;"your friday morning headlines: brexit theresa_may uselection pharrell aleppo syria earthworm dave ";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
63;"your friday morning headlines: brexit theresa_may uselection pharrell aleppo syria earthworm dave ";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
64;"putin exposes western hypocrisy on aleppo and mosul  via ";0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
64;"brilliant: putin exposes western hypocrisy on aleppo and mosul eddie  ";0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
64;"putin exposes western hypocrisy on aleppo and mosul (video)  ";0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
65;"الاحواز fsa news 
south aleppo  fsa forces kills group of hezbollah hiding out in telet ahad with tow missile:  ";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
65;"ايران fsa news 
south aleppo  fsa forces kills group of hezbollah hiding out in telet ahad with tow missile:    …";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
65;"fsa news 
south aleppo  fsa forces kills group of hezbollah hiding out in telet ahad with tow missile:    syria";0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1
66;"lebanese football player killed by militants in syria’s aleppo battlefield
-  ";0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1
66;" lebanese football player killed by militants in syria’s aleppo battlefield ";0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1
66;"lebanese football player killed by militants in syria’s aleppo battlefield
-  ";0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1
67;"professional lebanese soccer player killed in syria’s aleppo
 ";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
67;"professional lebanese soccer player martyred in syria’s aleppo ";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
67;"professional lebanese soccer player killed in syria’s aleppo  islam muslim deen sunnah hadith quran tafsir";0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1
68;"تهران continued clashes and more human losses in aleppo ";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
68;"تهران continued clashes and more human losses in aleppo ";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
68;"continued clashes and more human losses in aleppo ";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
69;"inside aleppo: after you hear the drones, you can sense death  ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
69;"please read this column by one of care's partners inside aleppo: after you hear the drones, you can sense death ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
69;"inside aleppo: after you hear the drones, you can sense death   ";0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1
70;"isis vehicle captured by sdf in northern aleppo.     ";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
70;"isis vehicle captured by sdf in northern aleppo.     ";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
